date;heure;NO2;O3
;;microg/m3;microg/m3
16/05/2008;19;60;40
16/05/2008;20;65;30
16/05/2008;21;48;40
16/05/2008;22;39;38
16/05/2008;23;69;11
16/05/2008;24;59;21
17/05/2008;1;49;23
17/05/2008;2;44;24
17/05/2008;3;29;34
17/05/2008;4;25;32
17/05/2008;5;29;31
17/05/2008;6;30;33
17/05/2008;7;30;34
17/05/2008;8;27;37
17/05/2008;9;17;63
17/05/2008;10;20;60
17/05/2008;11;15;72
17/05/2008;12;13;79
17/05/2008;13;14;78
17/05/2008;14;15;78
17/05/2008;15;16;76
17/05/2008;16;23;67
17/05/2008;17;20;75
17/05/2008;18;34;63
17/05/2008;19;53;49
17/05/2008;20;69;30
17/05/2008;21;55;31
17/05/2008;22;44;28
17/05/2008;23;39;31
17/05/2008;24;59;8
18/05/2008;1;49;15
18/05/2008;2;35;28
18/05/2008;3;29;33
18/05/2008;4;27;35
18/05/2008;5;30;26
18/05/2008;6;21;40
18/05/2008;7;24;38
18/05/2008;8;20;46
18/05/2008;9;20;54
18/05/2008;10;19;66
18/05/2008;11;24;65
18/05/2008;12;22;56
18/05/2008;13;20;54
18/05/2008;14;22;72
18/05/2008;15;19;55
18/05/2008;16;16;59
18/05/2008;17;19;67
18/05/2008;18;20;70
18/05/2008;19;20;70
18/05/2008;20;18;69
18/05/2008;21;21;65
18/05/2008;22;22;62
18/05/2008;23;21;60
18/05/2008;24;15;69
19/05/2008;1;13;75
19/05/2008;2;11;73
19/05/2008;3;13;70
19/05/2008;4;17;63
19/05/2008;5;31;49
19/05/2008;6;47;33
19/05/2008;7;53;28
19/05/2008;8;40;41
19/05/2008;9;36;48
19/05/2008;10;28;68
19/05/2008;11;20;83
19/05/2008;12;20;89
19/05/2008;13;20;97
19/05/2008;14;22;98
19/05/2008;15;25;94
19/05/2008;16;27;91
19/05/2008;17;28;89
19/05/2008;18;27;89
19/05/2008;19;26;93
19/05/2008;20;30;85
19/05/2008;21;34;76
19/05/2008;22;28;77
19/05/2008;23;29;68
19/05/2008;24;28;61
20/05/2008;1;23;60
20/05/2008;2;19;59
20/05/2008;3;18;57
20/05/2008;4;23;49
